Séance;Close;Plus haut;Plus bas;Variation quotidienne;Variation annuelle
28/08/2026;18 931,06;19 118,00;18 931,06;-0,61%;0,45%
27/08/2026;19 046,92;19 126,27;19 046,92;-0,40%;1,06%
24/08/2026;19 124,18;19 131,95;18 991,35;0,69%;1,47%
19/08/2026;18 992,40;18 992,40;18 821,49;0,73%;0,77%
18/08/2026;18 855,30;18 878,15;18 798,94;0,11%;0,05%
17/08/2026;18 834,22;18 839,57;18 753,11;0,08%;-0,06%
13/08/2026;18 819,08;18 853,31;18 758,20;-0,03%;-0,14%
12/08/2026;18 825,54;18 825,54;18 690,58;0,65%;-0,11%
11/08/2026;18 703,79;18 856,34;18 667,42;-0,68%;-0,76%
10/08/2026;18 832,18;18 952,86;18 762,13;-0,17%;-0,08%
07/08/2026;18 864,02;18 864,02;18 465,56;2,08%;0,09%
06/08/2026;18 479,44;18 479,44;18 299,08;0,82%;-1,95%
05/08/2026;18 329,91;18 330,03;18 057,07;1,48%;-2,74%
04/08/2026;18 063,39;18 084,38;17 853,29;1,05%;-4,15%
03/08/2026;17 876,25;17 916,26;17 819,38;0,18%;-5,15%
31/07/2026;17 843,70;17 844,37;17 722,56;0,59%;-5,32%
29/07/2026;17 739,77;17 825,43;17 728,37;-0,34%;-5,87%
28/07/2026;17 800,62;17 933,06;17 742,83;-0,42%;-5,55%
27/07/2026;17 875,62;17 894,31;17 742,49;0,75%;-5,15%
24/07/2026;17 743,11;17 803,19;17 654,63;0,43%;-5,85%
23/07/2026;17 667,10;17 776,05;17 641,45;-0,29%;-6,26%
22/07/2026;17 717,78;17 718,38;17 627,06;0,23%;-5,99%
21/07/2026;17 677,27;17 741,28;17 537,25;0,78%;-6,20%
20/07/2026;17 539,62;17 723,69;17 539,62;-0,22%;-6,93%
17/07/2026;17 578,83;17 783,72;17 578,60;-1,18%;-6,73%
16/07/2026;17 788,33;17 880,80;17 771,81;-0,52%;-5,61%
15/07/2026;17 882,04;17 886,89;17 754,91;0,38%;-5,12%
14/07/2026;17 814,15;17 929,29;17 747,50;-0,18%;-5,48%
13/07/2026;17 846,86;17 982,67;17 794,24;-0,78%;-5,30%
10/07/2026;17 987,82;17 999,44;17 905,60;0,37%;-4,56%
09/07/2026;17 920,74;18 034,89;17 903,91;-0,75%;-4,91%
08/07/2026;18 055,63;18 130,10;17 961,44;-0,93%;-4,20%
07/07/2026;18 224,41;18 404,44;18 192,64;-0,96%;-3,30%
06/07/2026;18 400,27;18 531,31;18 298,96;-0,40%;-2,37%
03/07/2026;18 474,84;18 516,25;18 291,03;0,96%;-1,97%
02/07/2026;18 298,70;18 318,81;18 086,19;0,98%;-2,91%
01/07/2026;18 121,27;18 254,02;18 075,15;-0,53%;-3,85%
30/06/2026;18 096,80;18 118,11;18 051,60;0,24%;-3,98%
29/06/2026;18 052,57;18 078,76;17 906,46;0,17%;-4,21%
26/06/2026;18 022,08;18 137,20;17 980,99;-0,15%;-4,37%
25/06/2026;18 049,47;18 140,17;17 950,60;-0,28%;-4,23%
24/06/2026;18 101,05;18 350,21;18 009,01;-1,21%;-3,95%
23/06/2026;18 322,01;18 391,12;18 216,95;-0,38%;-2,78%
22/06/2026;18 391,12;18 495,69;18 310,06;0,21%;-2,42%
19/06/2026;18 353,29;18 358,05;18 193,91;-0,02%;-2,62%
18/06/2026;18 357,76;18 785,53;18 357,76;-2,26%;-2,59%
16/06/2026;18 782,58;18 813,07;18 635,04;0,15%;-0,34%
15/06/2026;18 753,83;18 753,83;17 952,37;4,46%;-0,49%
12/06/2026;17 952,37;18 099,77;17 570,85;1,86%;-4,74%
11/06/2026;17 623,73;18 150,05;17 602,33;-2,86%;-6,49%
10/06/2026;18 142,55;18 495,73;18 138,02;-1,96%;-3,73%
09/06/2026;18 505,63;18 704,51;18 505,63;-0,66%;-1,81%
08/06/2026;18 629,14;18 634,47;18 252,47;0,59%;-1,15%
05/06/2026;18 519,03;18 673,98;18 505,74;-0,24%;-1,74%
04/06/2026;18 562,93;18 636,08;18 501,62;0,00%;-1,50%
03/06/2026;18 563,40;18 768,83;18 521,35;-0,11%;-1,50%
02/06/2026;18 583,39;19 048,48;18 581,90;-1,79%;-1,40%
01/06/2026;18 922,23;19 096,15;18 856,38;0,25%;0,40%
26/05/2026;18 874,97;19 060,32;18 867,72;0,02%;0,15%
25/05/2026;18 871,53;18 918,17;18 369,69;2,73%;0,13%
22/05/2026;18 369,69;18 475,91;18 304,76;0,35%;-2,53%
21/05/2026;18 304,76;18 426,94;18 112,23;1,06%;-2,87%
20/05/2026;18 113,11;18 450,22;18 112,91;-0,83%;-3,89%
19/05/2026;18 263,97;18 709,49;18 263,97;-1,00%;-3,09%
18/05/2026;18 448,30;18 506,67;18 325,91;0,16%;-2,11%
15/05/2026;18 419,21;18 765,80;18 396,89;-1,74%;-2,27%
14/05/2026;18 745,70;19 125,48;18 745,70;-0,78%;-0,53%
13/05/2026;18 892,82;18 960,90;18 776,54;0,62%;0,25%
12/05/2026;18 776,54;18 917,79;18 774,58;-0,39%;-0,37%
11/05/2026;18 850,91;18 957,18;18 841,68;-0,53%;0,02%
08/05/2026;18 950,94;18 969,07;18 891,93;0,16%;0,55%
07/05/2026;18 921,20;19 083,33;18 920,87;-0,10%;0,40%
06/05/2026;18 939,74;19 007,57;18 630,90;1,66%;0,50%
05/05/2026;18 630,92;18 738,44;18 611,46;-0,35%;-1,14%
04/05/2026;18 696,59;18 799,27;18 582,32;0,61%;-0,79%
30/04/2026;18 583,53;18 698,93;18 564,13;-0,62%;-1,39%
29/04/2026;18 699,53;18 883,39;18 657,43;-0,08%;-0,78%
28/04/2026;18 715,25;18 913,30;18 715,25;-0,55%;-0,70%
27/04/2026;18 819,61;18 987,01;18 803,51;0,02%;-0,14%
24/04/2026;18 815,18;19 138,85;18 808,70;-1,69%;-0,17%
23/04/2026;19 138,85;19 252,97;19 110,15;-0,10%;1,55%
22/04/2026;19 158,60;19 159,75;19 088,51;-0,01%;1,66%
21/04/2026;19 160,13;19 229,80;18 971,11;0,63%;1,66%
20/04/2026;19 041,05;19 238,41;18 885,82;-1,03%;1,03%
17/04/2026;19 238,41;19 345,19;18 693,83;2,66%;2,08%
16/04/2026;18 739,54;18 823,86;18 680,56;-0,02%;-0,57%
15/04/2026;18 743,91;18 981,98;18 716,96;-0,05%;-0,54%
14/04/2026;18 754,20;18 790,69;18 347,19;2,22%;-0,49%
13/04/2026;18 347,19;18 456,79;18 094,56;-0,54%;-2,65%
10/04/2026;18 447,35;18 447,73;18 063,02;2,13%;-2,12%
09/04/2026;18 063,02;18 185,11;18 016,83;-0,22%;-4,16%
08/04/2026;18 102,52;18 164,09;17 391,20;4,09%;-3,95%
07/04/2026;17 391,20;17 707,03;17 377,26;-1,18%;-7,72%
06/04/2026;17 599,70;17 740,86;17 514,80;0,48%;-6,61%
03/04/2026;17 514,80;17 630,99;17 476,90;-0,06%;-7,07%
02/04/2026;17 525,32;17 589,41;17 424,69;-0,16%;-7,01%
01/04/2026;17 554,23;17 627,60;17 160,54;2,29%;-6,86%
31/03/2026;17 160,54;17 347,88;17 151,04;-0,98%;-8,95%
30/03/2026;17 330,27;17 462,98;17 215,64;0,63%;-8,04%
27/03/2026;17 221,05;17 566,91;17 221,05;-1,27%;-8,62%
26/03/2026;17 443,33;17 607,73;17 443,18;-0,84%;-7,44%
25/03/2026;17 590,42;17 597,09;17 232,25;2,05%;-6,66%
24/03/2026;17 236,40;17 432,34;17 199,72;-0,04%;-8,54%
19/03/2026;17 243,58;17 513,82;17 170,80;-1,53%;-8,50%
18/03/2026;17 511,90;17 511,90;17 064,97;2,62%;-7,08%
17/03/2026;17 065,20;17 097,76;16 942,50;0,72%;-9,45%
16/03/2026;16 942,50;17 051,28;16 847,81;0,51%;-10,10%
13/03/2026;16 855,82;17 197,34;16 855,82;-1,76%;-10,56%
12/03/2026;17 157,76;17 298,31;17 151,00;0,00%;-8,96%
11/03/2026;17 157,05;17 273,56;16 902,46;1,51%;-8,96%
10/03/2026;16 902,46;17 350,40;16 533,58;2,23%;-10,31%
09/03/2026;16 533,58;17 101,83;16 533,58;-3,30%;-12,27%
06/03/2026;17 097,54;17 654,96;17 093,96;-1,46%;-9,28%
05/03/2026;17 351,61;17 351,61;16 655,58;4,18%;-7,93%
04/03/2026;16 655,58;17 169,08;16 382,81;1,56%;-11,62%
03/03/2026;16 399,25;17 415,99;16 399,22;-5,63%;-12,98%
02/03/2026;17 377,00;18 140,55;17 369,86;-4,21%;-7,80%
27/02/2026;18 140,55;18 472,13;18 138,36;-1,25%;-3,75%
26/02/2026;18 369,94;18 553,17;18 328,17;-0,84%;-2,53%
25/02/2026;18 526,39;18 672,08;18 526,39;-0,30%;-1,70%
24/02/2026;18 582,49;18 682,07;18 582,49;-0,37%;-1,40%
23/02/2026;18 651,76;18 731,31;18 633,92;-0,26%;-1,03%
20/02/2026;18 701,04;18 744,14;18 597,25;-0,19%;-0,77%
19/02/2026;18 736,57;18 736,57;18 639,79;0,26%;-0,58%
18/02/2026;18 687,90;18 763,41;18 630,01;-0,19%;-0,84%
17/02/2026;18 724,06;18 829,45;18 675,88;-0,55%;-0,65%
16/02/2026;18 827,60;18 827,60;18 567,09;1,37%;-0,10%
13/02/2026;18 573,12;18 682,13;18 561,44;-0,39%;-1,45%
12/02/2026;18 645,43;18 645,97;18 365,69;1,52%;-1,07%
11/02/2026;18 365,69;18 391,71;18 275,77;0,34%;-2,55%
10/02/2026;18 303,36;18 405,84;18 266,59;-0,19%;-2,88%
09/02/2026;18 338,87;18 481,69;18 292,11;0,18%;-2,69%
06/02/2026;18 306,80;18 310,25;17 924,37;1,02%;-2,86%
05/02/2026;18 122,70;18 497,70;18 122,70;-1,78%;-3,84%
04/02/2026;18 450,76;18 595,57;18 430,15;0,06%;-2,10%
03/02/2026;18 439,79;18 648,05;18 434,19;-0,45%;-2,16%
02/02/2026;18 524,06;18 730,57;18 399,39;-0,77%;-1,71%
30/01/2026;18 666,95;18 957,77;18 666,95;-1,52%;-0,95%
29/01/2026;18 955,53;19 109,49;18 943,00;-0,04%;0,58%
28/01/2026;18 963,82;18 963,82;18 616,29;1,87%;0,62%
27/01/2026;18 616,29;18 618,86;18 379,59;1,26%;-1,22%
26/01/2026;18 384,99;18 722,35;18 360,24;-1,39%;-2,45%
23/01/2026;18 643,56;18 945,44;18 627,81;-0,79%;-1,08%
22/01/2026;18 792,09;19 056,38;18 650,08;0,76%;-0,29%
21/01/2026;18 650,08;18 976,06;18 650,08;-1,23%;-1,04%
20/01/2026;18 882,11;19 091,19;18 816,38;-0,66%;0,19%
19/01/2026;19 008,06;19 284,30;18 982,96;-1,00%;0,86%
16/01/2026;19 200,47;19 293,44;19 136,28;-0,36%;1,88%
15/01/2026;19 270,33;19 473,83;19 198,46;-0,58%;2,25%
13/01/2026;19 381,89;19 550,71;19 376,29;-0,69%;2,84%
12/01/2026;19 516,71;19 525,13;19 394,74;0,24%;3,56%
09/01/2026;19 469,47;19 513,60;19 318,92;0,42%;3,31%
08/01/2026;19 388,28;19 510,57;19 304,63;-0,29%;2,88%
07/01/2026;19 445,46;19 638,15;19 422,15;-0,56%;3,18%
06/01/2026;19 554,97;19 630,37;19 440,68;0,59%;3,76%
05/01/2026;19 440,91;19 440,91;19 180,39;1,21%;3,15%
02/01/2026;19 208,36;19 208,36;18 774,74;1,92%;1,92%
31/12/2025;18 846,35;18 869,80;18 651,55;1,03%;27,57%
30/12/2025;18 654,74;18 672,90;18 386,49;1,46%;26,27%
29/12/2025;18 386,49;18 813,23;18 378,58;-0,49%;24,46%
26/12/2025;18 476,19;19 144,14;18 476,19;-2,45%;25,07%
25/12/2025;18 941,16;19 048,87;18 864,61;0,13%;28,21%
24/12/2025;18 917,37;19 001,97;18 881,84;-0,14%;28,05%
23/12/2025;18 943,40;18 966,16;18 795,24;0,01%;28,23%
22/12/2025;18 941,74;18 983,64;18 886,00;0,02%;28,22%
19/12/2025;18 938,30;19 005,82;18 815,95;0,65%;28,19%
18/12/2025;18 815,95;18 869,60;18 759,49;0,30%;27,37%
17/12/2025;18 760,08;18 767,61;18 583,78;0,95%;26,99%
16/12/2025;18 583,78;18 671,92;18 543,49;0,16%;25,79%
15/12/2025;18 553,93;18 694,45;18 515,19;-0,07%;25,59%
12/12/2025;18 566,51;18 622,63;18 498,78;0,37%;25,68%
11/12/2025;18 498,78;18 545,73;18 418,11;-0,11%;25,22%
10/12/2025;18 520,07;18 529,44;18 396,95;0,33%;25,36%
09/12/2025;18 458,70;18 527,50;18 410,70;-0,08%;24,95%
08/12/2025;18 473,47;18 563,04;18 418,04;0,02%;25,05%
05/12/2025;18 469,38;18 480,01;18 339,21;0,45%;25,02%
04/12/2025;18 386,27;18 495,42;18 371,68;0,08%;24,46%
03/12/2025;18 371,96;18 415,29;18 323,25;0,12%;24,36%
